"Capacitor";"Model";"Value, uF";"Mounting Quality";"Total Mounting Inductance, nH";"Estimated ESL, nH";"Actual Resonance Frequency, MHz";"Resonant Frequency for User-Specified ESL (w/o Mounting), MHz";"Comments"
"C1";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"poorly connected";"  0.14";"N/A";"  6.14";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C2";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"poorly connected";"  0.14";"N/A";"  6.14";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C3";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"poorly connected";"  0.14";"N/A";"  6.14";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C4";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C4.1 to metal area"
"C5";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C5.1 to metal area"
"C6";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C6.1 to metal area"
"C7";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C7.1 to metal area"
"C8";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C8.1 to metal area"
"C9";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C9.1 to metal area"
"C10";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C10.1 to metal area"
"C11";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C11.1 to metal area"
"C12";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"poorly connected";"  0.14";"N/A";"  6.14";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C13";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C13.1 to metal area"
"C14";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"poorly connected";"  0.14";"N/A";"  6.14";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C15";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"poorly connected";"  0.14";"N/A";"  6.14";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C16";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"poorly connected";"  0.14";"N/A";"  6.14";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C17";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C17.1 to metal area"
